,close,open,low,high,volume
2012-01-01,4.58,4.39,4.39,4.58,96.8198781
2012-01-02,5.0,4.58,4.58,5.0,20.1
2012-01-03,5.0,5.0,5.0,5.0,19.048
2012-01-04,4.93,5.0,4.93,5.32,100.03728092
2012-01-05,5.79,4.93,4.93,5.79,120.23326023
2012-01-06,6.73,5.79,5.79,6.73,77.53732692
2012-01-07,6.0,6.73,6.0,6.9,26.14724905
2012-01-08,6.8,6.0,6.0,6.8,0.29585799
2012-01-09,6.9,6.8,6.8,7.0,10.0
2012-01-10,6.3,6.9,6.23,6.9,61.86932289999999
2012-01-11,7.14,6.3,6.24,7.14,83.75076449000002
2012-01-12,6.95,7.14,6.25,7.33,92.69814971
2012-01-13,6.7,6.95,6.51,7.38,75.50163180999998
2012-01-14,6.4,6.7,6.4,7.36,59.57014484
2012-01-15,6.3,6.4,6.3,6.4,4.236000000000001
2012-01-16,7.15,6.3,6.3,7.15,16.699300700000002
2012-01-17,7.1,7.15,6.2,7.15,12.64929577
2012-01-18,6.02,7.1,5.99,7.1,166.45450990999996
2012-01-19,5.52,6.02,5.52,7.1,49.50626745
2012-01-20,6.9,5.52,5.52,7.0,245.75470555
2012-01-21,6.95,6.9,6.55,6.95,94.78711203
2012-01-22,6.79,6.95,6.28,6.95,83.30361160000002
2012-01-23,6.79,6.28,6.03,6.83,79.38127384
2012-01-24,6.52,6.79,6.0,6.79,95.6276843
2012-01-25,6.55,6.52,6.0,6.57,84.73918626
2012-01-26,6.31,6.55,6.0,6.86,81.1232564
2012-01-27,6.03,6.31,3.8,6.31,30.48591967
2012-01-28,4.91,6.03,4.91,6.03,91.76314377999996
2012-01-29,5.9,4.91,4.91,5.9,1.85484643
2012-01-30,5.5,5.9,5.3,5.9,7.6
2012-01-31,5.7,5.5,5.3,5.7,17.160000000000004
2012-02-01,5.3,5.7,3.8,6.22,108.50333334
2012-02-02,6.16,5.3,5.3,6.16,16.688850119999998
2012-02-03,6.0,6.16,5.9,6.35,267.41288972
2012-02-04,5.95,6.0,5.93,6.37,142.81357196
2012-02-05,5.9,5.95,5.9,6.5,81.9287334
2012-02-06,5.6,5.9,5.6,6.15,25.25356234
2012-02-07,5.6,5.6,5.2,5.9,29.178338330000006
2012-02-08,5.69,5.6,5.5,5.88,165.40541896
2012-02-09,5.52,5.69,5.52,5.87,101.86860411
2012-02-10,5.88,5.52,5.51,5.89,71.28660475000002
2012-02-11,5.88,5.88,5.8,5.88,170.95050375
2012-02-12,5.5,5.88,5.5,5.88,1.8794878000000002
2012-02-13,5.5,5.5,5.5,5.78,69.3434324
2012-02-14,4.99,5.5,4.99,5.79,150.71428131
2012-02-15,4.89,4.99,4.56,5.8,72.91509199000002
2012-02-16,4.7,4.89,4.17,5.08,93.89916535
2012-02-17,4.79,4.7,4.15,4.98,111.11532522
2012-02-18,4.45,4.79,4.45,4.8,418.14761279
2012-02-19,4.3,4.45,4.14,4.73,143.44506887
2012-02-20,4.38,4.3,4.3,4.38,8.55
2012-02-21,4.47,4.38,4.38,4.72,335.82211714
2012-02-22,4.46,4.47,4.3,4.58,349.84175654
2012-02-23,4.73,4.46,4.46,4.73,249.28245417
2012-02-24,5.02,4.73,4.55,5.22,537.68944359
2012-02-25,4.95,5.02,4.95,5.22,29.50257717
2012-02-26,5.07,4.95,4.78,5.11,144.00740151
2012-02-27,4.97,5.07,4.96,5.07,18.301
2012-02-28,5.04,4.97,4.95,5.1,376.66131411
2012-02-29,4.97,5.04,4.71,5.1,373.03339913999986
2012-03-01,5.05,4.97,4.85,5.05,264.51512493
2012-03-02,4.76,5.05,4.64,5.05,484.11811950000003
2012-03-03,4.99,4.76,4.64,4.99,47.39928089
2012-03-04,4.65,4.99,4.6,4.99,107.25991699999999
2012-03-05,4.86,4.65,4.65,4.97,146.29511685999995
2012-03-06,4.96,4.86,4.77,5.06,497.71784997
2012-03-07,4.98,4.96,4.95,5.05,284.27794242
2012-03-08,4.9,4.98,4.9,5.09,412.24019882
2012-03-09,4.97,4.9,4.87,5.08,294.71790102999995
2012-03-10,4.93,4.97,4.93,5.07,270.68947934
2012-03-11,4.94,4.93,4.85,4.99,115.82892826
2012-03-12,5.0,4.94,4.84,5.0,22.90252609
2012-03-13,4.99,5.0,4.85,5.0,108.76167997000002
2012-03-14,5.37,4.99,4.96,5.37,811.3732023599998
2012-03-15,5.27,5.37,5.27,5.44,1083.32401738
2012-03-16,5.28,5.27,5.27,5.43,639.32184255
