,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2016-12-01 00:00:00,734.0,734.0,734.0,734.0,7.41865123,5445.2900028,734.0
2016-12-01 00:01:00,734.0,734.0,733.76,734.0,22.686677,16651.290676,733.96781184
2016-12-01 00:02:00,734.0,734.0,733.76,734.0,1.40888,1034.1162688,733.99882801
2016-12-01 00:03:00,734.0,734.0,734.0,734.0,4.77096302,3501.8868567,734.0
2016-12-01 00:04:00,734.0,734.0,734.0,734.0,3.21478653,2359.653313,734.0
2016-12-01 00:05:00,734.0,734.0,733.76,734.0,17.47066425,12823.462838,733.99972976
2016-12-01 00:06:00,734.0,734.11,734.0,734.11,48.49467309,35597.546732,734.05065883
2016-12-01 00:07:00,734.11,734.17,734.11,734.17,14.06844259,10328.160146,734.13670915
2016-12-01 00:08:00,734.17,734.17,734.17,734.17,7.12292077,5229.4347417,734.17
2016-12-01 00:09:00,734.17,734.36,734.17,734.36,11.78425,8652.610727,734.25213543
2016-12-01 00:10:00,734.36,734.36,734.36,734.36,5.77156,4238.4028016,734.36
2016-12-01 00:11:00,734.36,734.36,734.36,734.36,5.65631395,4153.7707123,734.36
2016-12-01 00:12:00,734.36,734.36,734.36,734.36,0.241,176.98076,734.36
2016-12-01 00:13:00,734.36,734.36,734.36,734.36,2.39071038,1755.6420747000002,734.36
2016-12-01 00:14:00,734.36,735.0,734.36,735.0,16.97259487,12472.871592,734.88300918
2016-12-01 00:15:00,735.0,735.0,734.99,735.0,7.4043969,5442.2182945,734.99818662
2016-12-01 00:16:00,735.0,735.0,735.0,735.0,9.86244218,7248.8950023,735.0
2016-12-01 00:17:00,735.0,735.0,735.0,735.0,0.0,0.0,735.0
2016-12-01 00:18:00,734.51,734.51,734.37,734.37,1.5097,1108.8103686,734.45742107
2016-12-01 00:19:00,734.37,734.97,734.37,734.97,1.1743,862.9012710000002,734.82182662
2016-12-01 00:20:00,734.37,734.37,734.37,734.37,0.25002,183.6071874,734.37
2016-12-01 00:21:00,734.97,735.0,734.97,735.0,21.6581538,15918.715829,734.99874346
2016-12-01 00:22:00,735.0,735.0,735.0,735.0,3.369,2476.215,735.0
2016-12-01 00:23:00,735.0,736.0,735.0,736.0,20.33003367,14958.801342,735.79815878
